Grant,Ceiling Amount,Sponsored Program,F&A Rate Spon Pgm,Project Start Date,Project End Date,Fund/_number,type_of_fund,Sponsored Class,Sp_Class_name,Budget,Actual Expense
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,630000,Supplies & Materials,"$ 550,000.00","$ 548,290.91"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,640102,Leased Facilities Ex,"$ 24,798.00","$ 24,798.00"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,640300,Contractual Services,"$ 11,619.21","$ 11,619.21"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,640500,Consultant,"$ 1,401.65","$ 1,401.65"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,641400,Telecommunications,$ 483.33,$ 330.48
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642500,Other Expenses,"$ 86,875.49","$ 103,050.78"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,643000,Other Expenses Exclu,$ 209.38,$ 330.26
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,652000,Travel Domestic,"$ 31,456.76","$ 14,043.20"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,652100,Travel Foreign,"$ 71,043.24","$ 81,706.57"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,653400,Equipment,"$ 249,507.83","$ 249,507.83"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 188,556.35","$ 182,501.44"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,691500,Service Center,"$ 15,725.34","$ 1,158.01"
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 350,319.74",0
112544,"USD 55,000,000.00",90050174,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 337,808.17"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,610000,Salaries & Wages,"$ 1,847,238.52","$ 1,916,204.56"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,612000,Administrative Salar,$ 26.90,$ 196.57
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,620000,Fringe Benefits,"$ 516,244.97","$ 483,345.85"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,630000,Supplies & Materials,"$ 597,952.04","$ 586,172.63"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,637000,Repairs & Maintenanc,"$ 10,989.41","$ 29,006.80"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,640102,Leased Facilities Ex,"$ 93,511.93","$ 250,875.95"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,640300,Contractual Services,"$ 613,180.41","$ 599,010.09"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,641400,Telecommunications,"$ 37,797.86","$ 72,878.96"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642500,Other Expenses,"$ 434,872.02","$ 279,456.21"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,643000,Other Expenses Exclu,0,"$ -33,047.89"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,652000,Travel Domestic,"$ 1,556,076.73","$ 1,378,293.49"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,652100,Travel Foreign,"$ 249,390.36","$ 436,326.25"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,653400,Equipment,"$ 139,658.08","$ 139,128.41"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 717,989.07","$ 684,549.02"
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,691500,Service Center,0,$ 594.93
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 1,430,971.39",0
112544,"USD 55,000,000.00",90050190,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 1,357,867.43"
112544,"USD 55,000,000.00",96010060,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 1,055,139.25","$ 1,055,139.23"
112544,"USD 55,000,000.00",96010060,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 117,308.23","$ 117,308.23"
112544,"USD 55,000,000.00",96010060,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 25,947.23",0
112544,"USD 55,000,000.00",96010060,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 25,947.23"
112544,"USD 55,000,000.00",96010120,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 293,244.19","$ 293,244.19"
112544,"USD 55,000,000.00",96010120,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 32,654.62","$ 32,654.62"
112544,"USD 55,000,000.00",96010120,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 8,169.98",0
112544,"USD 55,000,000.00",96010120,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 8,169.98"
112544,"USD 55,000,000.00",96010121,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 270,500.16","$ 270,500.16"
112544,"USD 55,000,000.00",96010121,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 30,368.80","$ 30,368.80"
112544,"USD 55,000,000.00",96010121,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 7,689.95",0
112544,"USD 55,000,000.00",96010121,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 7,689.95"
112544,"USD 55,000,000.00",96010122,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 198,783.95","$ 198,783.95"
112544,"USD 55,000,000.00",96010122,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 21,929.68","$ 21,929.68"
112544,"USD 55,000,000.00",96010122,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 5,992.73",0
112544,"USD 55,000,000.00",96010122,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 5,917.73"
112544,"USD 55,000,000.00",96011940,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 187,569.93","$ 187,569.93"
112544,"USD 55,000,000.00",96011940,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,"$ 21,133.97","$ 21,133.97"
112544,"USD 55,000,000.00",96011940,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,"$ 5,750.64",0
112544,"USD 55,000,000.00",96011940,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,"$ 5,750.64"
112544,"USD 55,000,000.00",96016752,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,654.23","$ 2,654.23"
112544,"USD 55,000,000.00",96016752,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 300.13,$ 300.13
112544,"USD 55,000,000.00",96016752,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 620.41,0
112544,"USD 55,000,000.00",96016752,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 620.41
112544,"USD 55,000,000.00",96016753,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,511.13","$ 2,511.13"
112544,"USD 55,000,000.00",96016753,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 284.78,$ 284.78
112544,"USD 55,000,000.00",96016753,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 587.14,0
112544,"USD 55,000,000.00",96016753,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 587.14
112544,"USD 55,000,000.00",96016754,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,288.43","$ 2,288.43"
112544,"USD 55,000,000.00",96016754,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 260.99,$ 260.99
112544,"USD 55,000,000.00",96016754,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 535.38,0
112544,"USD 55,000,000.00",96016754,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 535.38
112544,"USD 55,000,000.00",96016755,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,904.12","$ 2,904.12"
112544,"USD 55,000,000.00",96016755,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 328.00,$ 328.00
112544,"USD 55,000,000.00",96016755,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 678.75,0
112544,"USD 55,000,000.00",96016755,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 678.75
112544,"USD 55,000,000.00",96016756,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 1,736.42","$ 1,736.42"
112544,"USD 55,000,000.00",96016756,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 199.56,$ 199.56
112544,"USD 55,000,000.00",96016756,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 406.56,0
112544,"USD 55,000,000.00",96016756,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 406.56
112544,"USD 55,000,000.00",96016757,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,279.07","$ 2,279.07"
112544,"USD 55,000,000.00",96016757,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 259.25,$ 259.25
112544,"USD 55,000,000.00",96016757,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 533.05,0
112544,"USD 55,000,000.00",96016757,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 533.05
112544,"USD 55,000,000.00",96016758,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,363.38","$ 2,363.38"
112544,"USD 55,000,000.00",96016758,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 261.61,$ 261.61
112544,"USD 55,000,000.00",96016758,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 551.25,0
112544,"USD 55,000,000.00",96016758,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 551.25
112544,"USD 55,000,000.00",96016759,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 1,741.53","$ 1,741.53"
112544,"USD 55,000,000.00",96016759,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 200.05,$ 200.05
112544,"USD 55,000,000.00",96016759,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 407.74,0
112544,"USD 55,000,000.00",96016759,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 407.74
112544,"USD 55,000,000.00",96016780,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,449.45","$ 2,449.45"
112544,"USD 55,000,000.00",96016780,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 277.62,$ 277.62
112544,"USD 55,000,000.00",96016780,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 572.69,0
112544,"USD 55,000,000.00",96016780,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 572.69
112544,"USD 55,000,000.00",96016781,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,$ 56.68,$ 56.68
112544,"USD 55,000,000.00",96016781,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 6.80,$ 6.80
112544,"USD 55,000,000.00",96016781,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 13.33,0
112544,"USD 55,000,000.00",96016781,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 13.33
112544,"USD 55,000,000.00",96016782,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,169.50","$ 2,169.50"
112544,"USD 55,000,000.00",96016782,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 246.73,$ 246.73
112544,"USD 55,000,000.00",96016782,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 507.41,0
112544,"USD 55,000,000.00",96016782,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 507.41
112544,"USD 55,000,000.00",96016783,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 2,352.00","$ 2,352.00"
112544,"USD 55,000,000.00",96016783,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 262.84,$ 262.84
112544,"USD 55,000,000.00",96016783,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 549.12,0
112544,"USD 55,000,000.00",96016783,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 549.12
112544,"USD 55,000,000.00",96016784,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,642400,Subaward,"$ 1,343.02","$ 1,343.02"
112544,"USD 55,000,000.00",96016784,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,690007,Recharge,$ 156.18,$ 156.18
112544,"USD 55,000,000.00",96016784,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699998,F & A Budgeting,$ 314.83,0
112544,"USD 55,000,000.00",96016784,21.00,05/18/2012,06/30/2019,9000000000,GOVERNMENT FUND,699999,Facilities & Admin C,0,$ 314.83
