Grant,Sponsored Program,Sponsored Class,Sp Class, May Expenses,,,
114466,90053669,643000,Other Expenses Exclu,$ (199.30),,,
114466,90053669,652000,Travel Domestic,$ 12.38,,,
114466,90053669,652100,Travel Foreign,$ 270.97,,,
114466,90053669,690007,Recharge,$ (100.07),,,
114466,90053669,699999,Facilities & Admin C,$ (37.22),,,
116102,90056415,610000,Salaries & Wages,$ 654.45,,,
116102,90056415,612000,Administrative Salar,"$ 1,097.02",,,
116102,90056415,620000,Fringe Benefits,$ 595.49,,,
116102,90056415,637000,Repairs & Maintenanc,$ 17.75,,,
116102,90056415,642500,Other Expenses,$ 50.00,,,
116102,90056415,652100,Travel Foreign,"$ 1,424.94",,,
116102,90056415,690007,Recharge,$ 383.97,,,
116102,90056415,699999,Facilities & Admin C,$ 886.96,,,
116102,90056416,610000,Salaries & Wages,"$ 8,898.46",,,
116102,90056416,620000,Fringe Benefits,"$ 2,047.75",,,
116102,90056416,630000,Supplies & Materials,"$ 1,001.39",,,
116102,90056416,637000,Repairs & Maintenanc,$ 318.90,,,
116102,90056416,640102,Leased Facilities Ex,$ 284.86,,,
116102,90056416,640300,Contractual Services,"$ 4,836.65",,,
116102,90056416,641400,Telecommunications,$ 616.66,,,
116102,90056416,642500,Other Expenses,$ 544.88,,,
116102,90056416,643000,Other Expenses Exclu,$ (78.55),,,
116102,90056416,652000,Travel Domestic,"$ 6,813.78",,,
116102,90056416,652100,Travel Foreign,"$ 1,770.54",,,
116102,90056416,690007,Recharge,"$ 2,705.53",,,
116102,90056416,699999,Facilities & Admin C,"$ 6,206.45",,,
116102,90074062,610000,Salaries & Wages,$ 814.02,,,
116102,90074062,620000,Fringe Benefits,$ 190.00,,,
116102,90074062,630000,Supplies & Materials,$ 119.98,,,
116102,90074062,640102,Leased Facilities Ex,$ 27.51,,,
116102,90074062,640300,Contractual Services,$ 9.06,,,
116102,90074062,641400,Telecommunications,$ 46.18,,,
116102,90074062,642500,Other Expenses,$ 20.75,,,
116102,90074062,643000,Other Expenses Exclu,$ (6.22),,,
116102,90074062,652000,Travel Domestic,"$ 1,240.33",,,
116102,90074062,652100,Travel Foreign,$ 275.84,,,
116102,90074062,690007,Recharge,$ 273.75,,,
116102,90074062,699999,Facilities & Admin C,$ 627.88,,,
116102,90075273,610000,Salaries & Wages,$ 314.06,,,
116102,90075273,612000,Administrative Salar,$ 404.44,,,
116102,90075273,620000,Fringe Benefits,$ 244.27,,,
116102,90075273,637000,Repairs & Maintenanc,$ 17.75,,,
116102,90075273,652000,Travel Domestic,$ 5.52,,,
116102,90075273,690007,Recharge,$ 98.61,,,
116102,90075273,699999,Facilities & Admin C,$ 227.78,,,
117011,90057971,610000,Salaries & Wages,"$ 11,560.01",,,
117011,90057971,612000,Administrative Salar,"$ 6,505.39",,,
117011,90057971,620000,Fringe Benefits,"$ 6,142.24",,,
117011,90057971,641400,Telecommunications,$ 15.00,,,
117011,90057971,642500,Other Expenses,$ 295.94,,,
117011,90057971,652000,Travel Domestic,$ 16.83,,,
117011,90057971,652100,Travel Foreign,$ 440.69,,,
117011,90057971,690007,Recharge,"$ 2,497.61",,,
117011,90057971,699999,Facilities & Admin C,"$ 5,769.47",,,
117011,90057979,610000,Salaries & Wages,"$ 1,371.78",,,
117011,90057979,612000,Administrative Salar,"$ 1,061.59",,,
117011,90057979,620000,Fringe Benefits,$ 722.43,,,
117011,90057979,690007,Recharge,$ 315.58,,,
117011,90057979,699999,Facilities & Admin C,$ 728.99,,,
117011,90057983,610000,Salaries & Wages,$ 233.80,,,
117011,90057983,612000,Administrative Salar,$ 742.38,,,
117011,90057983,620000,Fringe Benefits,$ 296.81,,,
117011,90057983,690007,Recharge,$ 127.29,,,
117011,90057983,699999,Facilities & Admin C,$ 294.06,,,
117011,90057984,630000,Supplies & Materials,$ 5.34,,,
117011,90057984,640102,Leased Facilities Ex,$ 187.93,,,
117011,90057984,640300,Contractual Services,$ 431.82,,,
117011,90057984,641400,Telecommunications,$ 48.73,,,
117011,90057984,642500,Other Expenses,$ 30.58,,,
117011,90057984,643000,Other Expenses Exclu,$ 194.97,,,
117011,90057984,690007,Recharge,$ 89.94,,,
117011,90057984,699999,Facilities & Admin C,$ 127.35,,,
117011,90058039,610000,Salaries & Wages,"$ 7,648.59",,,
117011,90058039,612000,Administrative Salar,$ 939.06,,,
117011,90058039,620000,Fringe Benefits,"$ 2,919.80",,,
117011,90058039,642500,Other Expenses,$ 71.42,,,
117011,90058039,652000,Travel Domestic,$ 358.28,,,
117011,90058039,690007,Recharge,"$ 1,196.66",,,
117011,90058039,691500,Service Center,$ 29.43,,,
117011,90058039,699999,Facilities & Admin C,"$ 2,764.28",,,
117011,90058043,610000,Salaries & Wages,"$ 9,631.18",,,
117011,90058043,612000,Administrative Salar,"$ 5,024.66",,,
117011,90058043,620000,Fringe Benefits,"$ 4,952.08",,,
117011,90058043,630000,Supplies & Materials,$ 250.00,,,
117011,90058043,642500,Other Expenses,$ 72.67,,,
117011,90058043,652000,Travel Domestic,$ 398.31,,,
117011,90058043,652100,Travel Foreign,$ 635.68,,,
117011,90058043,690007,Recharge,"$ 2,098.57",,,
117011,90058043,691500,Service Center,$ 21.22,,,
117011,90058043,699999,Facilities & Admin C,"$ 4,847.71",,,
117011,90058186,610000,Salaries & Wages,"$ 3,167.09",,,
117011,90058186,612000,Administrative Salar,$ 21.66,,,
117011,90058186,620000,Fringe Benefits,"$ 1,084.19",,,
117011,90058186,652100,Travel Foreign,"$ 1,126.59",,,
117011,90058186,690007,Recharge,$ 541.41,,,
117011,90058186,691500,Service Center,$ 14.57,,,
117011,90058186,699999,Facilities & Admin C,"$ 1,250.65",,,
117011,90058187,612000,Administrative Salar,"$ 12,371.99",,,
117011,90058187,620000,Fringe Benefits,"$ 4,163.58",,,
117011,90058187,640300,Contractual Services,"$ 1,285.62",,,
117011,90058187,642500,Other Expenses,"$ 1,414.87",,,
117011,90058187,643000,Other Expenses Exclu,$ 92.04,,,
117011,90058187,652000,Travel Domestic,$ 77.56,,,
117011,90058187,652100,Travel Foreign,$ 227.80,,,
117011,90058187,690007,Recharge,"$ 1,963.35",,,
117011,90058187,699999,Facilities & Admin C,"$ 4,516.00",,,
117011,90058188,610000,Salaries & Wages,"$ 6,405.20",,,
117011,90058188,612000,Administrative Salar,"$ 1,010.28",,,
117011,90058188,620000,Fringe Benefits,"$ 2,521.24",,,
117011,90058188,642500,Other Expenses,$ 176.90,,,
117011,90058188,690007,Recharge,"$ 1,012.68",,,
117011,90058188,691500,Service Center,$ 13.06,,,
117011,90058188,699999,Facilities & Admin C,"$ 2,339.26",,,
117011,90058189,610000,Salaries & Wages,"$ 8,740.87",,,
117011,90058189,612000,Administrative Salar,"$ 2,607.30",,,
117011,90058189,620000,Fringe Benefits,"$ 3,858.37",,,
117011,90058189,640300,Contractual Services,$ 59.38,,,
117011,90058189,642500,Other Expenses,$ 71.20,,,
117011,90058189,652000,Travel Domestic,$ 59.75,,,
117011,90058189,652100,Travel Foreign,$ 550.96,,,
117011,90058189,690007,Recharge,"$ 1,663.72",,,
117011,90058189,691500,Service Center,$ 689.38,,,
117011,90058189,699999,Facilities & Admin C,"$ 3,843.20",,,
117011,90058191,610000,Salaries & Wages,$ 378.26,,,
117011,90058191,612000,Administrative Salar,"$ 1,100.17",,,
117011,90058191,620000,Fringe Benefits,$ 502.66,,,
117011,90058191,640300,Contractual Services,"$ 1,477.02",,,
117011,90058191,642500,Other Expenses,$ 9.63,,,
117011,90058191,652100,Travel Foreign,$ 990.69,,,
117011,90058191,690007,Recharge,$ 445.84,,,
117011,90058191,699999,Facilities & Admin C,"$ 1,029.90",,,
117011,90058192,610000,Salaries & Wages,"$ (1,943.54)",,,
117011,90058192,630000,Supplies & Materials,$ 32.66,,,
117011,90058192,640300,Contractual Services,$ (8.48),,,
117011,90058192,641400,Telecommunications,$ (3.72),,,
117011,90058192,642500,Other Expenses,$ (0.09),,,
117011,90058192,652100,Travel Foreign,$ 378.22,,,
117011,90058192,690007,Recharge,$ (154.50),,,
117011,90058192,699999,Facilities & Admin C,$ (356.89),,,
117011,90058193,610000,Salaries & Wages,"$ 2,021.20",,,
117011,90058193,612000,Administrative Salar,$ 983.84,,,
117011,90058193,620000,Fringe Benefits,"$ 1,021.71",,,
117011,90058193,652000,Travel Domestic,$ 107.89,,,
117011,90058193,690007,Recharge,$ 413.47,,,
117011,90058193,699999,Facilities & Admin C,$ 955.11,,,
117011,90058205,610000,Salaries & Wages,$ (800.21),,,
117011,90058205,612000,Administrative Salar,$ 301.71,,,
117011,90058205,620000,Fringe Benefits,$ (206.53),,,
117011,90058205,640300,Contractual Services,$ 2.88,,,
117011,90058205,652000,Travel Domestic,$ 129.70,,,
117011,90058205,690007,Recharge,$ (57.25),,,
117011,90058205,699999,Facilities & Admin C,$ (132.23),,,
117011,90058206,610000,Salaries & Wages,"$ 8,135.67",,,
117011,90058206,620000,Fringe Benefits,"$ 1,883.41",,,
117011,90058206,630000,Supplies & Materials,$ 253.14,,,
117011,90058206,637000,Repairs & Maintenanc,$ 187.41,,,
117011,90058206,640102,Leased Facilities Ex,$ 599.58,,,
117011,90058206,640300,Contractual Services,$ 533.64,,,
117011,90058206,641400,Telecommunications,$ 398.80,,,
117011,90058206,642500,Other Expenses,$ 95.34,,,
117011,90058206,652100,Travel Foreign,$ 667.54,,,
117011,90058206,690007,Recharge,"$ 1,275.45",,,
117011,90058206,699999,Facilities & Admin C,"$ 2,820.38",,,
117011,90059123,612000,Administrative Salar,"$ 1,529.42",,,
117011,90059123,620000,Fringe Benefits,$ 520.00,,,
117011,90059123,642500,Other Expenses,$ 28.89,,,
117011,90059123,652100,Travel Foreign,$ 569.32,,,
117011,90059123,690007,Recharge,$ 264.76,,,
117011,90059123,699999,Facilities & Admin C,$ 611.60,,,
117011,90059169,610000,Salaries & Wages,"$ (7,991.65)",,,
117011,90059169,612000,Administrative Salar,$ 367.78,,,
117011,90059169,620000,Fringe Benefits,"$ (2,591.69)",,,
117011,90059169,630000,Supplies & Materials,$ 43.21,,,
117011,90059169,640300,Contractual Services,$ 501.43,,,
117011,90059169,640500,Consultant,$ 750.00,,,
117011,90059169,642500,Other Expenses,$ 86.32,,,
117011,90059169,643000,Other Expenses Exclu,$ 12.01,,,
117011,90059169,652000,Travel Domestic,$ 959.78,,,
117011,90059169,652100,Travel Foreign,"$ 1,125.00",,,
117011,90059169,690007,Recharge,$ (673.79),,,
117011,90059169,699999,Facilities & Admin C,"$ (1,558.95)",,,
117011,90059172,610000,Salaries & Wages,$ (174.83),,,
117011,90059172,612000,Administrative Salar,$ 982.06,,,
117011,90059172,620000,Fringe Benefits,$ 274.46,,,
117011,90059172,690007,Recharge,$ 108.16,,,
117011,90059172,699999,Facilities & Admin C,$ 249.87,,,
117011,90059180,610000,Salaries & Wages,"$ 5,056.67",,,
117011,90059180,620000,Fringe Benefits,"$ 1,001.95",,,
117011,90059180,630000,Supplies & Materials,$ 159.69,,,
117011,90059180,637000,Repairs & Maintenanc,$ 242.61,,,
117011,90059180,640102,Leased Facilities Ex,"$ 1,562.50",,,
117011,90059180,640300,Contractual Services,$ 84.09,,,
117011,90059180,641400,Telecommunications,$ 216.02,,,
117011,90059180,643000,Other Expenses Exclu,$ (258.69),,,
117011,90059180,652100,Travel Foreign,$ 45.80,,,
117011,90059180,690007,Recharge,$ 811.06,,,
117011,90059180,699999,Facilities & Admin C,"$ 1,599.76",,,
117011,90059183,610000,Salaries & Wages,"$ 1,148.66",,,
117011,90059183,612000,Administrative Salar,$ 105.72,,,
117011,90059183,620000,Fringe Benefits,$ 426.48,,,
117011,90059183,652100,Travel Foreign,"$ 1,376.47",,,
117011,90059183,690007,Recharge,$ 305.73,,,
117011,90059183,699999,Facilities & Admin C,$ 706.24,,,
117011,90059184,610000,Salaries & Wages,$ 944.80,,,
117011,90059184,612000,Administrative Salar,$ 437.56,,,
117011,90059184,620000,Fringe Benefits,$ 470.00,,,
117011,90059184,642500,Other Expenses,$ 82.43,,,
117011,90059184,652000,Travel Domestic,$ 13.43,,,
117011,90059184,690007,Recharge,$ 194.82,,,
117011,90059184,699999,Facilities & Admin C,$ 450.04,,,
117011,90059195,640300,Contractual Services,$ 27.81,,,
117011,90059195,690007,Recharge,$ 2.78,,,
117011,90059195,699999,Facilities & Admin C,$ 6.43,,,
117011,90059197,610000,Salaries & Wages,$ 209.43,,,
117011,90059197,612000,Administrative Salar,$ (210.18),,,
117011,90059197,620000,Fringe Benefits,$ (99.81),,,
117011,90059197,690007,Recharge,$ (10.05),,,
117011,90059197,699999,Facilities & Admin C,$ (23.22),,,
117011,90059198,610000,Salaries & Wages,$ 600.90,,,
117011,90059198,620000,Fringe Benefits,$ 107.00,,,
117011,90059198,630000,Supplies & Materials,$ 37.69,,,
117011,90059198,637000,Repairs & Maintenanc,$ 0.81,,,
117011,90059198,640102,Leased Facilities Ex,$ 105.75,,,
117011,90059198,640300,Contractual Services,$ (235.70),,,
117011,90059198,641400,Telecommunications,$ 1.51,,,
117011,90059198,642500,Other Expenses,$ 129.11,,,
117011,90059198,643000,Other Expenses Exclu,$ (4.09),,,
117011,90059198,652000,Travel Domestic,$ (152.00),,,
117011,90059198,652100,Travel Foreign,$ (317.18),,,
117011,90059198,690007,Recharge,$ 27.38,,,
117011,90059198,699999,Facilities & Admin C,$ 41.89,,,
117011,90059199,610000,Salaries & Wages,"$ 1,665.06",,,
117011,90059199,612000,Administrative Salar,$ 909.27,,,
117011,90059199,620000,Fringe Benefits,$ 623.89,,,
117011,90059199,652000,Travel Domestic,$ 2.58,,,
117011,90059199,690007,Recharge,$ 320.08,,,
117011,90059199,699999,Facilities & Admin C,$ 739.39,,,
117011,90059200,610000,Salaries & Wages,$ 23.00,,,
117011,90059200,620000,Fringe Benefits,$ 6.79,,,
117011,90059200,630000,Supplies & Materials,$ 1.36,,,
117011,90059200,637000,Repairs & Maintenanc,$ 1.35,,,
117011,90059200,640300,Contractual Services,$ 470.49,,,
117011,90059200,641400,Telecommunications,$ 2.04,,,
117011,90059200,642500,Other Expenses,$ 1.26,,,
117011,90059200,690007,Recharge,$ 50.63,,,
117011,90059200,699999,Facilities & Admin C,$ 116.95,,,
117011,90059201,610000,Salaries & Wages,$ 565.39,,,
117011,90059201,612000,Administrative Salar,$ (297.72),,,
117011,90059201,620000,Fringe Benefits,$ 91.00,,,
117011,90059201,641400,Telecommunications,$ 17.50,,,
117011,90059201,652000,Travel Domestic,$ 394.67,,,
117011,90059201,652100,Travel Foreign,"$ 1,833.14",,,
117011,90059201,690007,Recharge,$ 260.41,,,
117011,90059201,699999,Facilities & Admin C,$ 601.52,,,
117011,90059202,610000,Salaries & Wages,"$ 14,918.38",,,
117011,90059202,620000,Fringe Benefits,"$ 2,654.50",,,
117011,90059202,630000,Supplies & Materials,$ 305.96,,,
117011,90059202,637000,Repairs & Maintenanc,$ 133.55,,,
117011,90059202,640102,Leased Facilities Ex,$ 126.34,,,
117011,90059202,640300,Contractual Services,"$ 2,769.89",,,
117011,90059202,641400,Telecommunications,$ 44.89,,,
117011,90059202,642500,Other Expenses,$ 179.15,,,
117011,90059202,643000,Other Expenses Exclu,$ (9.30),,,
117011,90059202,652000,Travel Domestic,$ 59.80,,,
117011,90059202,652100,Travel Foreign,"$ 2,973.74",,,
117011,90059202,690007,Recharge,"$ 2,415.69",,,
117011,90059202,699999,Facilities & Admin C,"$ 5,555.66",,,
117011,90059203,610000,Salaries & Wages,$ 86.34,,,
117011,90059203,620000,Fringe Benefits,$ 29.36,,,
117011,90059203,690007,Recharge,$ 11.57,,,
117011,90059203,699999,Facilities & Admin C,$ 26.73,,,
117011,90059204,610000,Salaries & Wages,"$ 2,039.99",,,
117011,90059204,620000,Fringe Benefits,$ 490.50,,,
117011,90059204,630000,Supplies & Materials,$ 155.23,,,
117011,90059204,637000,Repairs & Maintenanc,$ 217.88,,,
117011,90059204,640102,Leased Facilities Ex,"$ 1,813.03",,,
117011,90059204,640300,Contractual Services,"$ 4,635.42",,,
117011,90059204,641400,Telecommunications,$ 209.18,,,
117011,90059204,642500,Other Expenses,$ 12.50,,,
117011,90059204,643000,Other Expenses Exclu,$ (0.00),,,
117011,90059204,652100,Travel Foreign,$ 122.83,,,
117011,90059204,690007,Recharge,$ 969.65,,,
117011,90059204,699999,Facilities & Admin C,"$ 1,859.18",,,
117011,90059225,610000,Salaries & Wages,"$ 6,550.59",,,
117011,90059225,612000,Administrative Salar,$ 308.75,,,
117011,90059225,620000,Fringe Benefits,"$ 2,071.62",,,
117011,90059225,690007,Recharge,$ 893.09,,,
117011,90059225,699999,Facilities & Admin C,"$ 2,063.04",,,
117011,90059226,610000,Salaries & Wages,"$ 21,229.41",,,
117011,90059226,620000,Fringe Benefits,"$ 4,064.55",,,
117011,90059226,630000,Supplies & Materials,$ 284.89,,,
117011,90059226,637000,Repairs & Maintenanc,$ 162.91,,,
117011,90059226,640102,Leased Facilities Ex,"$ (1,286.83)",,,
117011,90059226,640300,Contractual Services,"$ 2,506.97",,,
117011,90059226,641400,Telecommunications,$ 472.12,,,
117011,90059226,642500,Other Expenses,$ 660.03,,,
117011,90059226,643000,Other Expenses Exclu,$ (380.79),,,
117011,90059226,652000,Travel Domestic,$ 41.93,,,
117011,90059226,652100,Travel Foreign,"$ 1,054.45",,,
117011,90059226,690007,Recharge,"$ 2,880.98",,,
117011,90059226,699999,Facilities & Admin C,"$ 7,005.23",,,
117011,90060672,610000,Salaries & Wages,$ (338.41),,,
117011,90060672,612000,Administrative Salar,$ 297.09,,,
117011,90060672,620000,Fringe Benefits,$ (14.04),,,
117011,90060672,642500,Other Expenses,$ 12.50,,,
117011,90060672,690007,Recharge,$ (4.28),,,
117011,90060672,699999,Facilities & Admin C,$ (9.90),,,
117011,90061022,610000,Salaries & Wages,"$ 1,685.99",,,
117011,90061022,620000,Fringe Benefits,$ 456.48,,,
117011,90061022,630000,Supplies & Materials,$ (75.28),,,
117011,90061022,637000,Repairs & Maintenanc,$ 133.24,,,
117011,90061022,640102,Leased Facilities Ex,$ 195.72,,,
117011,90061022,640300,Contractual Services,$ 114.63,,,
117011,90061022,641400,Telecommunications,$ (311.61),,,
117011,90061022,642500,Other Expenses,$ 37.43,,,
117011,90061022,643000,Other Expenses Exclu,$ 424.81,,,
117011,90061022,652000,Travel Domestic,$ 291.21,,,
117011,90061022,652100,Travel Foreign,$ 98.95,,,
117011,90061022,690007,Recharge,$ 305.16,,,
117011,90061022,699999,Facilities & Admin C,$ 574.60,,,
117011,90061026,630000,Supplies & Materials,$ 2.77,,,
117011,90061026,637000,Repairs & Maintenanc,$ 8.38,,,
117011,90061026,641400,Telecommunications,$ 0.88,,,
117011,90061026,642500,Other Expenses,$ 10.74,,,
117011,90061026,643000,Other Expenses Exclu,$ (0.66),,,
117011,90061026,652100,Travel Foreign,$ 0.19,,,
117011,90061026,690007,Recharge,$ 2.23,,,
117011,90061026,699999,Facilities & Admin C,$ 5.29,,,
117011,90061029,630000,Supplies & Materials,$ 30.67,,,
117011,90061029,637000,Repairs & Maintenanc,$ 55.30,,,
117011,90061029,640300,Contractual Services,$ 828.88,,,
117011,90061029,641400,Telecommunications,$ 4.23,,,
117011,90061029,643000,Other Expenses Exclu,$ (3.48),,,
117011,90061029,652100,Travel Foreign,$ 1.58,,,
117011,90061029,690007,Recharge,$ 91.72,,,
117011,90061029,699999,Facilities & Admin C,$ 212.60,,,
117011,90061031,610000,Salaries & Wages,$ (156.41),,,
117011,90061031,612000,Administrative Salar,$ 274.74,,,
117011,90061031,620000,Fringe Benefits,$ 40.23,,,
117011,90061031,690007,Recharge,$ 15.86,,,
117011,90061031,699999,Facilities & Admin C,$ 36.63,,,
117011,90061040,610000,Salaries & Wages,"$ 1,498.86",,,
117011,90061040,620000,Fringe Benefits,$ 520.18,,,
117011,90061040,630000,Supplies & Materials,$ 57.53,,,
117011,90061040,637000,Repairs & Maintenanc,$ 14.86,,,
117011,90061040,640300,Contractual Services,$ 84.09,,,
117011,90061040,641400,Telecommunications,$ 10.36,,,
117011,90061040,652100,Travel Foreign,$ 22.90,,,
117011,90061040,690007,Recharge,$ 220.88,,,
117011,90061040,699999,Facilities & Admin C,$ 510.23,,,
117011,90061042,610000,Salaries & Wages,"$ 1,171.95",,,
117011,90061042,612000,Administrative Salar,$ 461.10,,,
117011,90061042,620000,Fringe Benefits,$ 494.09,,,
117011,90061042,640300,Contractual Services,$ 45.16,,,
117011,90061042,642500,Other Expenses,"$ 1,460.27",,,
117011,90061042,652100,Travel Foreign,$ 276.46,,,
117011,90061042,690007,Recharge,$ 390.90,,,
117011,90061042,699999,Facilities & Admin C,$ 902.98,,,
117011,90061043,610000,Salaries & Wages,"$ 5,633.49",,,
117011,90061043,620000,Fringe Benefits,"$ 1,846.10",,,
117011,90061043,630000,Supplies & Materials,$ 510.64,,,
117011,90061043,637000,Repairs & Maintenanc,$ 49.01,,,
117011,90061043,640102,Leased Facilities Ex,$ 731.08,,,
117011,90061043,640300,Contractual Services,$ 172.15,,,
117011,90061043,641400,Telecommunications,$ 292.50,,,
117011,90061043,642500,Other Expenses,$ 302.74,,,
117011,90061043,652000,Travel Domestic,"$ 18,024.89",,,
117011,90061043,652100,Travel Foreign,"$ 1,125.23",,,
117011,90061043,690007,Recharge,"$ 2,868.80",,,
117011,90061043,699999,Facilities & Admin C,"$ 6,473.36",,,
117011,90061044,610000,Salaries & Wages,$ 11.59,,,
117011,90061044,620000,Fringe Benefits,$ 3.80,,,
117011,90061044,630000,Supplies & Materials,$ 172.50,,,
117011,90061044,637000,Repairs & Maintenanc,$ 1.36,,,
117011,90061044,640102,Leased Facilities Ex,$ 942.04,,,
117011,90061044,640300,Contractual Services,$ 4.17,,,
117011,90061044,641400,Telecommunications,$ 34.68,,,
117011,90061044,642500,Other Expenses,$ 248.88,,,
117011,90061044,652100,Travel Foreign,"$ 8,165.82",,,
