Grant,Sponsored Program,Sponsored Class number,sponsored class name,Total Revenue or Expense
113800,90072749,690007,Recharge,$ (0.18)
113800,90072749,699999,Facilities & Admin C,$ (0.01)
113800,90074446,690007,Recharge,$ (3.43)
113800,90074446,699999,Facilities & Admin C,$ (0.12)
113800,96017024,690007,Recharge,$ (99.36)
113800,96017024,699999,Facilities & Admin C,$ (3.58)
113800,96018728,690007,Recharge,$ (19.14)
113800,96018728,699999,Facilities & Admin C,$ (0.69)
114400,90053491,612000,Administrative Salar,$ (100.43)
114400,90053491,620000,Fringe Benefits,$ (34.15)
114400,90053491,690001,Cost Overrun Small B,$ 0.00
114400,90053491,690007,Recharge,$ (43.45)
114400,90053491,699999,Facilities & Admin C,$ (37.38)
114400,90055904,610000,Salaries & Wages,"$ 1,774.66"
114400,90055904,620000,Fringe Benefits,"$ 10,041.29"
114400,90055904,690007,Recharge,"$ 1,032.39"
114400,90055904,699999,Facilities & Admin C,"$ 2,698.15"
114466,90053561,610000,Salaries & Wages,"$ 4,229.64"
114466,90053561,612000,Administrative Salar,"$ 7,760.89"
114466,90053561,620000,Fringe Benefits,"$ 3,734.37"
114466,90053561,630000,Supplies & Materials,"$ 11,324.75"
114466,90053561,640500,Consultant,$ 207.50
114466,90053561,643000,Other Expenses Exclu,$ 7.91
114466,90053561,652000,Travel Domestic,$ 119.94
114466,90053561,652100,Travel Foreign,"$ 2,279.39"
114466,90053561,690007,Recharge,"$ 2,413.65"
114466,90053561,699999,Facilities & Admin C,"$ 6,734.73"
114466,90053669,610000,Salaries & Wages,"$ 22,520.06"
114466,90053669,620000,Fringe Benefits,"$ 41,564.41"
114466,90053669,630000,Supplies & Materials,"$ 14,074.00"
114466,90053669,637000,Repairs & Maintenanc,$ 460.08
114466,90053669,640102,Leased Facilities Ex,"$ 2,157.71"
114466,90053669,640300,Contractual Services,"$ 83,624.90"
114466,90053669,641400,Telecommunications,"$ 3,205.28"
114466,90053669,642500,Other Expenses,"$ 1,984.60"
114466,90053669,643000,Other Expenses Exclu,$ 334.94
114466,90053669,652000,Travel Domestic,"$ 50,469.12"
114466,90053669,652100,Travel Foreign,"$ 16,023.87"
114466,90053669,690007,Recharge,"$ 18,770.48"
114466,90053669,699999,Facilities & Admin C,"$ 53,066.33"
114466,96011904,642400,Subaward,"$ 1,374.07"
114466,96011904,690007,Recharge,$ 82.58
114466,96011904,699999,Facilities & Admin C,$ 17.34
114527,90053768,640300,Contractual Services,"$ 3,240.85"
114527,90053768,690007,Recharge,$ 356.50
114527,90053768,699999,Facilities & Admin C,$ 676.30
114805,90080498,640300,Contractual Services,"$ 2,060.18"
114805,90080498,642500,Other Expenses,$ 334.22
114805,90080498,652000,Travel Domestic,$ 39.05
114805,90080498,690007,Recharge,$ (782.70)
114805,90080498,699999,Facilities & Admin C,$ 59.43
115137,90054801,642500,Other Expenses,$ (405.00)
115137,90054801,690007,Recharge,$ (44.55)
115137,90054801,699999,Facilities & Admin C,$ (44.96)
115860,90055982,610000,Salaries & Wages,"$ 5,364.21"
115860,90055982,630000,Supplies & Materials,$ 43.56
115860,90055982,640102,Leased Facilities Ex,$ 284.58
115860,90055982,640300,Contractual Services,$ 167.01
115860,90055982,641400,Telecommunications,$ 45.46
115860,90055982,690007,Recharge,$ 550.36
115860,90055982,699999,Facilities & Admin C,"$ 1,160.08"
115860,90056048,612000,Administrative Salar,$ 60.72
115860,90056048,620000,Fringe Benefits,$ 20.65
115860,90056048,640300,Contractual Services,"$ 2,022.19"
115860,90056048,642500,Other Expenses,$ 129.18
115860,90056048,690007,Recharge,$ 26.78
115860,90056048,699999,Facilities & Admin C,$ 424.79
115860,96012280,642400,Subaward,"$ 166,550.32"
115860,96012280,690007,Recharge,"$ (2,500.00)"
115860,96012280,699999,Facilities & Admin C,$ (470.00)
115860,96012353,642400,Subaward,"$ 2,219.87"
115860,96012353,690007,Recharge,$ 106.78
115860,96012353,699999,Facilities & Admin C,$ 20.08
116102,90056415,610000,Salaries & Wages,"$ 4,030.90"
116102,90056415,612000,Administrative Salar,"$ 3,313.32"
116102,90056415,620000,Fringe Benefits,"$ 2,497.03"
116102,90056415,630000,Supplies & Materials,$ 65.25
116102,90056415,637000,Repairs & Maintenanc,$ 289.92
116102,90056415,640300,Contractual Services,$ 34.45
116102,90056415,642500,Other Expenses,$ 50.00
116102,90056415,652100,Travel Foreign,"$ 1,733.88"
116102,90056415,690007,Recharge,"$ 1,068.98"
116102,90056415,699999,Facilities & Admin C,"$ 2,747.58"
116102,90056416,610000,Salaries & Wages,"$ 56,689.47"
116102,90056416,620000,Fringe Benefits,"$ 14,588.43"
116102,90056416,630000,Supplies & Materials,"$ 2,994.34"
116102,90056416,637000,Repairs & Maintenanc,"$ 1,064.85"
116102,90056416,640102,Leased Facilities Ex,"$ 1,464.43"
116102,90056416,640300,Contractual Services,"$ 17,643.78"
116102,90056416,641400,Telecommunications,"$ 5,335.48"
116102,90056416,642500,Other Expenses,"$ 2,526.42"
116102,90056416,643000,Other Expenses Exclu,"$ 1,667.66"
116102,90056416,652000,Travel Domestic,"$ 66,564.46"
116102,90056416,652100,Travel Foreign,"$ 5,230.34"
116102,90056416,690007,Recharge,"$ 14,278.72"
116102,90056416,699999,Facilities & Admin C,"$ 39,252.41"
116102,90074062,610000,Salaries & Wages,"$ 3,987.75"
116102,90074062,620000,Fringe Benefits,$ 793.31
116102,90074062,630000,Supplies & Materials,"$ (14,106.92)"
116102,90074062,637000,Repairs & Maintenanc,$ 10.12
116102,90074062,640102,Leased Facilities Ex,$ 209.42
116102,90074062,640300,Contractual Services,"$ 4,680.95"
116102,90074062,641400,Telecommunications,$ 556.42
116102,90074062,642500,Other Expenses,$ 557.38
116102,90074062,643000,Other Expenses Exclu,$ 198.10
116102,90074062,652000,Travel Domestic,"$ 13,596.79"
116102,90074062,652100,Travel Foreign,"$ 4,350.38"
116102,90074062,690007,Recharge,$ 830.43
116102,90074062,699999,Facilities & Admin C,"$ 3,203.89"
116102,90075273,610000,Salaries & Wages,"$ 2,200.09"
116102,90075273,612000,Administrative Salar,"$ 1,843.65"
116102,90075273,620000,Fringe Benefits,"$ 1,374.86"
116102,90075273,630000,Supplies & Materials,"$ 3,275.98"
116102,90075273,637000,Repairs & Maintenanc,$ 289.92
116102,90075273,640300,Contractual Services,$ 20.50
116102,90075273,642500,Other Expenses,$ 232.73
116102,90075273,652000,Travel Domestic,$ 5.52
116102,90075273,690007,Recharge,$ 774.48
116102,90075273,699999,Facilities & Admin C,"$ 2,103.73"
116102,96012346,642400,Subaward,"$ 11,194.84"
116102,96012346,690007,Recharge,$ 945.63
116102,96012346,699999,Facilities & Admin C,$ 198.58
116102,98010629,610000,Salaries & Wages,"$ 4,962.70"
116102,98010629,620000,Fringe Benefits,"$ 1,254.71"
117011,90057971,610000,Salaries & Wages,"$ 69,538.12"
117011,90057971,612000,Administrative Salar,"$ 31,628.40"
117011,90057971,620000,Fringe Benefits,"$ 34,396.65"
117011,90057971,630000,Supplies & Materials,$ 407.14
117011,90057971,640300,Contractual Services,$ 34.86
117011,90057971,641400,Telecommunications,$ 15.00
117011,90057971,642500,Other Expenses,"$ 1,349.38"
117011,90057971,643000,Other Expenses Exclu,$ 320.00
117011,90057971,652000,Travel Domestic,$ 364.69
117011,90057971,652100,Travel Foreign,"$ 4,482.43"
117011,90057971,690007,Recharge,"$ 13,089.95"
117011,90057971,699999,Facilities & Admin C,"$ 32,614.40"
117011,90057979,610000,Salaries & Wages,"$ 9,794.41"
117011,90057979,612000,Administrative Salar,"$ 8,190.38"
117011,90057979,620000,Fringe Benefits,"$ 5,573.87"
117011,90057979,642500,Other Expenses,$ 100.20
117011,90057979,643000,Other Expenses Exclu,$ 63.73
117011,90057979,652000,Travel Domestic,$ 9.25
117011,90057979,652100,Travel Foreign,$ 947.35
117011,90057979,690007,Recharge,"$ 2,196.27"
117011,90057979,699999,Facilities & Admin C,"$ 5,630.47"
117011,90057983,610000,Salaries & Wages,$ 588.98
117011,90057983,612000,Administrative Salar,"$ 2,236.94"
117011,90057983,620000,Fringe Benefits,$ 859.43
117011,90057983,630000,Supplies & Materials,$ 53.52
117011,90057983,640300,Contractual Services,$ 5.20
117011,90057983,641400,Telecommunications,$ 10.00
117011,90057983,642500,Other Expenses,$ 75.00
117011,90057983,652000,Travel Domestic,$ 26.83
117011,90057983,652100,Travel Foreign,$ 49.75
117011,90057983,690007,Recharge,$ 334.65
117011,90057983,699999,Facilities & Admin C,$ 890.47
117011,90057984,610000,Salaries & Wages,$ 718.13
117011,90057984,620000,Fringe Benefits,$ (333.33)
117011,90057984,630000,Supplies & Materials,"$ 4,369.03"
117011,90057984,640102,Leased Facilities Ex,$ 482.78
117011,90057984,640300,Contractual Services,"$ 7,442.23"
117011,90057984,641400,Telecommunications,$ 487.85
117011,90057984,642500,Other Expenses,$ 174.19
117011,90057984,643000,Other Expenses Exclu,"$ (2,033.90)"
117011,90057984,652000,Travel Domestic,$ 686.05
117011,90057984,652100,Travel Foreign,$ 473.71
117011,90057984,690007,Recharge,"$ 1,211.24"
117011,90057984,699999,Facilities & Admin C,"$ 3,198.10"
117011,90058039,610000,Salaries & Wages,"$ 44,740.96"
117011,90058039,612000,Administrative Salar,"$ 8,986.00"
117011,90058039,620000,Fringe Benefits,"$ 18,267.15"
117011,90058039,630000,Supplies & Materials,$ 28.99
117011,90058039,640300,Contractual Services,"$ 1,216.24"
117011,90058039,642500,Other Expenses,$ 403.67
117011,90058039,652000,Travel Domestic,$ 669.61
117011,90058039,652100,Travel Foreign,"$ 4,260.20"
117011,90058039,690007,Recharge,"$ 7,214.03"
117011,90058039,691500,Service Center,$ 286.69
117011,90058039,699999,Facilities & Admin C,"$ 18,075.45"
117011,90058043,610000,Salaries & Wages,"$ 47,342.72"
117011,90058043,612000,Administrative Salar,"$ 27,331.48"
117011,90058043,620000,Fringe Benefits,"$ 24,899.91"
117011,90058043,630000,Supplies & Materials,"$ 1,546.99"
117011,90058043,640300,Contractual Services,"$ 1,377.10"
117011,90058043,641400,Telecommunications,$ 18.75
117011,90058043,642500,Other Expenses,"$ 2,550.12"
117011,90058043,643000,Other Expenses Exclu,$ 29.00
117011,90058043,652000,Travel Domestic,"$ 3,844.55"
117011,90058043,652100,Travel Foreign,"$ 11,129.54"
117011,90058043,690007,Recharge,"$ 11,115.93"
117011,90058043,691500,Service Center,$ 160.79
117011,90058043,699999,Facilities & Admin C,"$ 27,576.75"
117011,90058044,612000,Administrative Salar,"$ 1,196.91"
117011,90058044,620000,Fringe Benefits,$ 406.95
117011,90058044,640300,Contractual Services,$ 80.70
117011,90058044,690007,Recharge,$ 156.96
117011,90058044,699999,Facilities & Admin C,$ 386.72
117011,90058186,610000,Salaries & Wages,"$ 8,955.82"
117011,90058186,612000,Administrative Salar,$ 21.66
117011,90058186,620000,Fringe Benefits,"$ 3,052.34"
117011,90058186,642500,Other Expenses,$ 268.26
117011,90058186,652000,Travel Domestic,$ 143.77
117011,90058186,652100,Travel Foreign,"$ 1,126.59"
117011,90058186,690007,Recharge,"$ 1,256.08"
117011,90058186,691500,Service Center,$ 98.25
117011,90058186,699999,Facilities & Admin C,"$ 3,133.77"
117011,90058187,610000,Salaries & Wages,"$ 2,204.69"
117011,90058187,612000,Administrative Salar,"$ 49,985.70"
117011,90058187,620000,Fringe Benefits,"$ 17,396.47"
117011,90058187,630000,Supplies & Materials,"$ 3,929.49"
117011,90058187,640300,Contractual Services,"$ 8,426.04"
117011,90058187,640500,Consultant,$ 233.75
117011,90058187,641400,Telecommunications,$ 17.50
117011,90058187,642500,Other Expenses,"$ 4,045.03"
117011,90058187,643000,Other Expenses Exclu,$ 416.54
117011,90058187,652000,Travel Domestic,$ 677.43
117011,90058187,652100,Travel Foreign,"$ 5,132.84"
117011,90058187,690007,Recharge,"$ 8,228.58"
117011,90058187,699999,Facilities & Admin C,"$ 21,058.29"
117011,90058188,610000,Salaries & Wages,"$ 31,159.16"
117011,90058188,612000,Administrative Salar,"$ 16,046.70"
117011,90058188,620000,Fringe Benefits,"$ 16,049.97"
117011,90058188,642500,Other Expenses,$ 471.39
117011,90058188,643000,Other Expenses Exclu,$ 78.33
117011,90058188,652000,Travel Domestic,"$ 1,630.30"
117011,90058188,652100,Travel Foreign,$ 421.84
117011,90058188,690007,Recharge,"$ 5,948.67"
117011,90058188,691500,Service Center,$ 78.56
117011,90058188,699999,Facilities & Admin C,"$ 15,079.38"
117011,90058189,610000,Salaries & Wages,"$ 48,920.48"
117011,90058189,612000,Administrative Salar,"$ 12,390.23"
117011,90058189,620000,Fringe Benefits,"$ 20,845.68"
117011,90058189,630000,Supplies & Materials,$ 35.05
117011,90058189,640300,Contractual Services,$ 91.55
117011,90058189,641400,Telecommunications,$ 8.75
117011,90058189,642500,Other Expenses,$ 872.02
117011,90058189,652000,Travel Domestic,"$ 1,993.44"
117011,90058189,652100,Travel Foreign,"$ 4,232.00"
117011,90058189,690007,Recharge,"$ 8,400.31"
117011,90058189,691500,Service Center,"$ 1,451.88"
117011,90058189,699999,Facilities & Admin C,"$ 20,840.69"
117011,90058191,610000,Salaries & Wages,"$ 2,782.30"
117011,90058191,612000,Administrative Salar,"$ 6,905.23"
117011,90058191,620000,Fringe Benefits,"$ 3,293.77"
117011,90058191,640300,Contractual Services,"$ 8,424.22"
117011,90058191,642500,Other Expenses,$ 54.18
117011,90058191,652000,Travel Domestic,$ 7.41
117011,90058191,652100,Travel Foreign,"$ 3,047.28"
117011,90058191,690007,Recharge,"$ 2,254.88"
117011,90058191,699999,Facilities & Admin C,"$ 5,621.55"
117011,90058192,610000,Salaries & Wages,"$ 3,219.72"
117011,90058192,620000,Fringe Benefits,$ 300.01
117011,90058192,630000,Supplies & Materials,$ 167.70
117011,90058192,640102,Leased Facilities Ex,$ 40.99
117011,90058192,640300,Contractual Services,"$ 10,392.33"
117011,90058192,641400,Telecommunications,$ 17.04
117011,90058192,642500,Other Expenses,$ 269.14
117011,90058192,643000,Other Expenses Exclu,$ (192.66)
117011,90058192,652000,Travel Domestic,"$ 1,038.73"
117011,90058192,652100,Travel Foreign,"$ 2,183.96"
117011,90058192,690007,Recharge,"$ 1,721.19"
117011,90058192,699999,Facilities & Admin C,"$ 4,055.06"
117011,90058193,610000,Salaries & Wages,"$ 11,983.26"
117011,90058193,612000,Administrative Salar,"$ 9,782.16"
117011,90058193,620000,Fringe Benefits,"$ 7,400.22"
117011,90058193,630000,Supplies & Materials,$ 66.47
117011,90058193,640300,Contractual Services,$ 587.66
117011,90058193,642500,Other Expenses,$ 221.43
117011,90058193,652000,Travel Domestic,"$ 1,598.17"
117011,90058193,652100,Travel Foreign,"$ 4,147.58"
117011,90058193,690007,Recharge,"$ 3,376.00"
117011,90058193,699999,Facilities & Admin C,"$ 8,224.19"
117011,90058205,610000,Salaries & Wages,"$ 14,745.54"
117011,90058205,612000,Administrative Salar,"$ 6,338.28"
117011,90058205,620000,Fringe Benefits,"$ 7,028.54"
117011,90058205,630000,Supplies & Materials,$ 420.65
117011,90058205,640300,Contractual Services,$ 49.63
117011,90058205,640500,Consultant,"$ 1,250.00"
117011,90058205,642500,Other Expenses,$ 268.70
117011,90058205,652000,Travel Domestic,"$ 1,088.26"
117011,90058205,652100,Travel Foreign,"$ 1,234.82"
117011,90058205,690007,Recharge,"$ 2,811.36"
117011,90058205,691500,Service Center,$ 106.25
117011,90058205,699999,Facilities & Admin C,"$ 7,421.83"
117011,90058206,610000,Salaries & Wages,"$ 66,383.15"
117011,90058206,620000,Fringe Benefits,"$ 15,257.72"
117011,90058206,630000,Supplies & Materials,"$ 12,790.14"
117011,90058206,637000,Repairs & Maintenanc,"$ 3,113.51"
117011,90058206,640102,Leased Facilities Ex,"$ 3,232.24"
117011,90058206,640300,Contractual Services,"$ 50,981.53"
117011,90058206,641400,Telecommunications,"$ 1,970.27"
117011,90058206,642500,Other Expenses,"$ 1,645.78"
117011,90058206,643000,Other Expenses Exclu,$ 492.61
117011,90058206,652000,Travel Domestic,"$ 26,766.51"
117011,90058206,652100,Travel Foreign,"$ 22,967.22"
117011,90058206,690007,Recharge,"$ 18,470.50"
117011,90058206,699999,Facilities & Admin C,"$ 46,272.73"
117011,90058210,610000,Salaries & Wages,"$ 2,318.17"
117011,90058210,620000,Fringe Benefits,"$ 1,058.48"
117011,90058210,630000,Supplies & Materials,$ 42.27
117011,90058210,641400,Telecommunications,$ (0.00)
117011,90058210,643000,Other Expenses Exclu,$ 1.46
117011,90058210,652000,Travel Domestic,$ 515.20
117011,90058210,690007,Recharge,$ 196.82
117011,90058210,699999,Facilities & Admin C,$ 867.50
117011,90059117,690007,Recharge,$ (14.06)
117011,90059117,699999,Facilities & Admin C,$ (2.95)
117011,90059121,630000,Supplies & Materials,$ 28.12
117011,90059121,690007,Recharge,$ 2.81
117011,90059121,699999,Facilities & Admin C,$ 6.50
117011,90059123,612000,Administrative Salar,"$ 9,496.06"
117011,90059123,620000,Fringe Benefits,"$ 3,228.65"
117011,90059123,640300,Contractual Services,"$ 3,368.75"
117011,90059123,642500,Other Expenses,$ 151.90
117011,90059123,652100,Travel Foreign,"$ 9,933.74"
117011,90059123,690007,Recharge,"$ 2,378.67"
117011,90059123,699999,Facilities & Admin C,"$ 5,997.13"
117011,90059169,610000,Salaries & Wages,"$ 18,312.38"
117011,90059169,612000,Administrative Salar,"$ 1,845.56"
117011,90059169,620000,Fringe Benefits,"$ 5,909.81"
117011,90059169,630000,Supplies & Materials,$ 47.28
117011,90059169,640300,Contractual Services,"$ 15,857.37"
117011,90059169,640500,Consultant,"$ 1,500.00"
117011,90059169,642500,Other Expenses,$ 137.32
117011,90059169,643000,Other Expenses Exclu,$ 61.21
117011,90059169,652000,Travel Domestic,"$ 2,635.73"
117011,90059169,652100,Travel Foreign,"$ 1,543.51"
117011,90059169,690007,Recharge,"$ 4,284.27"
117011,90059169,691500,Service Center,$ 68.50
117011,90059169,699999,Facilities & Admin C,"$ 10,949.80"
117011,90059172,610000,Salaries & Wages,"$ 2,891.16"
117011,90059172,612000,Administrative Salar,"$ 1,535.27"
117011,90059172,620000,Fringe Benefits,"$ 1,505.01"
117011,90059172,690007,Recharge,$ 566.60
117011,90059172,699999,Facilities & Admin C,"$ 1,364.58"
117011,90059177,610000,Salaries & Wages,"$ 2,273.44"
117011,90059177,620000,Fringe Benefits,"$ 1,038.06"
117011,90059177,641400,Telecommunications,$ (0.00)
117011,90059177,643000,Other Expenses Exclu,$ 1.99
117011,90059177,652000,Travel Domestic,$ 667.95
117011,90059177,690007,Recharge,$ 141.68
117011,90059177,699999,Facilities & Admin C,$ 865.44
117011,90059180,610000,Salaries & Wages,"$ 25,589.87"
117011,90059180,620000,Fringe Benefits,"$ 9,379.34"
117011,90059180,630000,Supplies & Materials,"$ 1,569.64"
117011,90059180,637000,Repairs & Maintenanc,$ 425.39
117011,90059180,640102,Leased Facilities Ex,"$ 7,025.00"
117011,90059180,640300,Contractual Services,"$ 2,550.46"
117011,90059180,641400,Telecommunications,$ 904.24
117011,90059180,642500,Other Expenses,$ 188.61
117011,90059180,643000,Other Expenses Exclu,$ (811.03)
117011,90059180,652000,Travel Domestic,"$ 17,963.77"
117011,90059180,652100,Travel Foreign,$ (356.25)
117011,90059180,690007,Recharge,"$ 5,066.00"
117011,90059180,699999,Facilities & Admin C,"$ 13,289.02"
117011,90059181,610000,Salaries & Wages,$ 190.27
117011,90059181,620000,Fringe Benefits,$ 45.50
117011,90059181,690007,Recharge,$ (361.90)
117011,90059181,699999,Facilities & Admin C,$ (26.49)
117011,90059183,610000,Salaries & Wages,"$ 13,068.06"
117011,90059183,612000,Administrative Salar,"$ 1,718.72"
117011,90059183,620000,Fringe Benefits,"$ 5,027.50"
117011,90059183,642500,Other Expenses,$ 129.19
117011,90059183,652000,Travel Domestic,$ 4.69
117011,90059183,652100,Travel Foreign,"$ 1,376.47"
117011,90059183,690007,Recharge,"$ 2,012.23"
117011,90059183,699999,Facilities & Admin C,"$ 4,900.73"
117011,90059184,610000,Salaries & Wages,"$ 15,808.59"
117011,90059184,612000,Administrative Salar,"$ 4,622.57"
117011,90059184,620000,Fringe Benefits,"$ 6,946.65"
117011,90059184,640300,Contractual Services,$ 900.77
117011,90059184,640500,Consultant,"$ 1,750.00"
117011,90059184,642500,Other Expenses,$ 82.43
117011,90059184,652000,Travel Domestic,$ 13.43
